ObjectId,merge_province_cn,power_type_cn,component,source_optimistic_multiple,critical_learning_multiple,right_censored_at_20,implied_2060_energy_kwh_per_kg,implied_2060_stack_life_hours,implied_2060_stack_cost_factor,implied_2060_replacement_share_of_initial_capex,equivalent_energy_improvement_per_doubling,equivalent_stack_life_progress_per_doubling,equivalent_stack_learning_rate
4283,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4288,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4291,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4301,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4317,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4320,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4326,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4420,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4434,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4440,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4446,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4452,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4463,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4479,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4490,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4510,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4516,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4522,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4543,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
459,甘肃,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4609,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
461,甘肃,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4615,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4622,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
463,甘肃,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4631,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
464,甘肃,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4641,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4642,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4647,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4648,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4654,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
468,甘肃,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4682,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4690,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4705,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4709,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4710,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4712,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4716,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4718,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4722,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4724,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4744,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4746,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4752,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4756,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4757,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4767,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4795,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4804,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4811,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4817,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4824,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4854,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4865,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4868,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4874,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4891,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4897,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4899,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4905,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4916,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4931,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4932,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4933,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4943,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4944,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4952,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4956,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4960,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4966,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4977,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4980,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4983,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4992,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
4994,青海,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
518,甘肃,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
521,甘肃,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
533,甘肃,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
540,甘肃,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
541,甘肃,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6017,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6030,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6031,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6032,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6036,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6037,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6057,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6059,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6060,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6063,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6066,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6067,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6068,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6069,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6070,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6076,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6081,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6082,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6083,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6086,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6089,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6098,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6101,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6102,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6104,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6106,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6111,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6112,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6114,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6117,甘肃,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6120,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6124,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6129,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6131,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6133,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6140,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6143,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6149,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6151,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6159,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6160,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6165,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6175,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6176,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6178,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6183,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6186,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6189,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6190,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6191,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6197,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6199,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6214,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6215,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6219,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6224,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6230,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6247,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6251,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6253,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6259,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6261,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6263,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6268,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6270,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6272,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6276,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6288,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6290,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6294,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6295,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6321,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6322,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6323,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6328,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6334,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6337,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6339,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6344,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6345,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6350,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6358,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6360,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6361,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6362,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6372,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6374,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6375,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6380,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6385,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6387,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6388,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6389,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6394,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6402,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6405,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6411,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6415,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6417,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6424,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6428,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6429,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6434,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6435,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6436,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6440,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6447,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6451,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6465,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6467,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
6468,新疆,光伏,life_only,1.3333333333333333,20.0,True,55.0,660000.0,1.0,0.11,0.0,0.30135991439500387,0.0
